id,customer_id,sdc,time_stamp
1,7,"My self-driving mower isn't working since this morning",2024-01-10 10:05:22
2,22,"My HedgeBot Compact won't turn on.",2025-02-15 10:12:10
3,37,"My AutoMow Mini still keeps turning off while mowing.",2024-10-15 09:45:31
4,23,"My AquaSpray paused mid-cycle for the third time in two days.",2025-03-16 14:30:00
5,59,"My GrowMaster AI system is causing stress to my plants due to erratic temperature readings.",2025-01-30 10:00:00
6,54,"My SoilSense Lite isn't reporting soil moisture after it rains.",2024-02-15 09:35:00
7,61,"The AquaSpray Duo isn't working as expected; the cycles are too short.",2024-10-21 10:15:00
8,50,"The blades on my HedgeBot Pro are making a strange noise when I turn it on.","2024-10-01 10:15:00"
9,90,"My AutoMow Mini keeps stopping and starting unpredictably even though I've been using it on steep hills which I know isn't recommended.",2024-09-28 10:15:00
10,92,"Hi, I'm having issues with my GrowMaster AI system controlling humidity properly.",2023-10-21 09:15:00
11,24,"Hi, my GrowMaster AI system isn't syncing data with the app since the update.",2025-01-18 10:00:00
12,45,"My HedgeBot Pro is showing an error code after I used it to trim wet hedges this morning after the rain.",2024-05-12 10:30:00
